"package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
NA,"DroidSansGeorgian.afm.gz","/usr/share/fonts/truetype/droid/DroidSansGeorgian.ttf","Droid Sans Georgian","Droid Sans Georgian","DroidSansGeorgian",FALSE,FALSE,FALSE,NA
NA,"DroidSansHebrew-Regular.afm.gz","/usr/share/fonts/truetype/droid/DroidSansHebrew-Regular.ttf","Droid Sans Hebrew","Droid Sans Hebrew","DroidSansHebrew",FALSE,FALSE,FALSE,NA
NA,"DroidSansHebrew-Bold.afm.gz","/usr/share/fonts/truetype/droid/DroidSansHebrew-Bold.ttf","Droid Sans Hebrew Bold","Droid Sans Hebrew","DroidSansHebrew-Bold",TRUE,FALSE,FALSE,NA
NA,"DroidSansMono.afm.gz","/usr/share/fonts/truetype/droid/DroidSansMono.ttf","Droid Sans Mono","Droid Sans Mono","DroidSansMono",FALSE,FALSE,FALSE,NA
NA,"DroidSansThai.afm.gz","/usr/share/fonts/truetype/droid/DroidSansThai.ttf","Droid Sans Thai","Droid Sans Thai","DroidSansThai",FALSE,FALSE,FALSE,NA
NA,"DroidSerif-Regular.afm.gz","/usr/share/fonts/truetype/droid/DroidSerif-Regular.ttf","Droid Serif","Droid Serif","DroidSerif",FALSE,FALSE,FALSE,NA
NA,"DroidSerif-Bold.afm.gz","/usr/share/fonts/truetype/droid/DroidSerif-Bold.ttf","Droid Serif Bold","Droid Serif","DroidSerif-Bold",TRUE,FALSE,FALSE,NA
NA,"DroidSerif-BoldItalic.afm.gz","/usr/share/fonts/truetype/droid/DroidSerif-BoldItalic.ttf","Droid Serif Bold Italic","Droid Serif","DroidSerif-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"DroidSerif-Italic.afm.gz","/usr/share/fonts/truetype/droid/DroidSerif-Italic.ttf","Droid Serif Italic","Droid Serif","DroidSerif-Italic",FALSE,TRUE,FALSE,NA
NA,"esint10.afm.gz","/usr/share/fonts/truetype/lyx/esint10.ttf","esint10","esint10","esint10",FALSE,FALSE,FALSE,NA
NA,"eufm10.afm.gz","/usr/share/fonts/truetype/lyx/eufm10.ttf","eufm10","eufm10","Eufm10",FALSE,FALSE,FALSE,NA
NA,"fontawesome-webfont.afm.gz","/usr/share/fonts/truetype/font-awesome/fontawesome-webfont.ttf","FontAwesome Regular","FontAwesome","FontAwesome",FALSE,FALSE,FALSE,NA
NA,"FreeMono.afm.gz","/usr/share/fonts/truetype/freefont/FreeMono.ttf","FreeMono","FreeMono","FreeMono",FALSE,FALSE,FALSE,NA
NA,"FreeMonoBold.afm.gz","/usr/share/fonts/truetype/freefont/FreeMonoBold.ttf","FreeMono Bold","FreeMono","FreeMonoBold",TRUE,FALSE,FALSE,NA
NA,"FreeMonoBoldOblique.afm.gz","/usr/share/fonts/truetype/freefont/FreeMonoBoldOblique.ttf","FreeMono Bold Oblique","FreeMono","FreeMonoBoldOblique",TRUE,TRUE,FALSE,NA
NA,"FreeMonoOblique.afm.gz","/usr/share/fonts/truetype/freefont/FreeMonoOblique.ttf","FreeMono Oblique","FreeMono","FreeMonoOblique",FALSE,TRUE,FALSE,NA
NA,"FreeSans.afm.gz","/usr/share/fonts/truetype/freefont/FreeSans.ttf","FreeSans","FreeSans","FreeSans",FALSE,FALSE,FALSE,NA
NA,"FreeSansBold.afm.gz","/usr/share/fonts/truetype/freefont/FreeSansBold.ttf","FreeSans Bold","FreeSans","FreeSansBold",TRUE,FALSE,FALSE,NA
NA,"FreeSansBoldOblique.afm.gz","/usr/share/fonts/truetype/freefont/FreeSansBoldOblique.ttf","FreeSans Bold Oblique","FreeSans","FreeSansBoldOblique",TRUE,TRUE,FALSE,NA
NA,"FreeSansOblique.afm.gz","/usr/share/fonts/truetype/freefont/FreeSansOblique.ttf","FreeSans Oblique","FreeSans","FreeSansOblique",FALSE,TRUE,FALSE,NA
NA,"FreeSerif.afm.gz","/usr/share/fonts/truetype/freefont/FreeSerif.ttf","FreeSerif","FreeSerif","FreeSerif",FALSE,FALSE,FALSE,NA
NA,"FreeSerifBold.afm.gz","/usr/share/fonts/truetype/freefont/FreeSerifBold.ttf","FreeSerif Bold","FreeSerif","FreeSerifBold",TRUE,FALSE,FALSE,NA
NA,"FreeSerifBoldItalic.afm.gz","/usr/share/fonts/truetype/freefont/FreeSerifBoldItalic.ttf","FreeSerif Bold Italic","FreeSerif","FreeSerifBoldItalic",TRUE,TRUE,FALSE,NA
NA,"FreeSerifItalic.afm.gz","/usr/share/fonts/truetype/freefont/FreeSerifItalic.ttf","FreeSerif Italic","FreeSerif","FreeSerifItalic",FALSE,TRUE,FALSE,NA
NA,"FZCCHK.afm.gz","/usr/share/fonts/wps-office/FZCCHK.TTF","FZChaoCuHei-M10","FZChaoCuHei-M10","FZCCHK--GBK1-0",FALSE,FALSE,FALSE,NA
NA,"FZFSK.afm.gz","/usr/share/fonts/wps-office/FZFSK.TTF","FZFangSong-Z02","FZFangSong-Z02","FZFSK--GBK1-0",FALSE,FALSE,FALSE,NA
NA,"FZHTK.afm.gz","/usr/share/fonts/wps-office/FZHTK.TTF","FZHei-B01","FZHei-B01","FZHTK--GBK1-0",FALSE,FALSE,FALSE,NA
NA,"FZKTK.afm.gz","/usr/share/fonts/wps-office/FZKTK.TTF","FZKai-Z03","FZKai-Z03","FZKTK--GBK1-0",FALSE,FALSE,FALSE,NA
NA,"FZLSK.afm.gz","/usr/share/fonts/wps-office/FZLSK.TTF","FZLiShu-S01","FZLiShu-S01","FZLSK--GBK1-0",FALSE,FALSE,FALSE,NA
NA,"FZSongS_20100603.afm.gz","/usr/share/fonts/wps-office/FZSongS_20100603.TTF","FZSongS-Extended","FZSongS-Extended","FZSONGS--GB1-5",FALSE,FALSE,FALSE,NA
NA,"FZSongS(SIP)_2010603.afm.gz","/usr/share/fonts/wps-office/FZSongS(SIP)_2010603.TTF","FZSongS-Extended[SIP]","FZSongS-Extended[SIP]","FZSONGS-SIP--GB1-5",FALSE,FALSE,FALSE,NA
NA,"FZSSK.afm.gz","/usr/share/fonts/wps-office/FZSSK.TTF","FZShuSong-Z01","FZShuSong-Z01","FZSSK--GBK1-0",FALSE,FALSE,FALSE,NA
NA,"FZWBK.afm.gz","/usr/share/fonts/wps-office/FZWBK.TTF","FZWeiBei-S03","FZWeiBei-S03","FZWBK--GBK1-0",FALSE,FALSE,FALSE,NA
NA,"FZXBSK.afm.gz","/usr/share/fonts/wps-office/FZXBSK.TTF","FZXiaoBiaoSong-B05","FZXiaoBiaoSong-B05","FZXBSK--GBK1-0",FALSE,FALSE,FALSE,NA
NA,"FZXH1K.afm.gz","/usr/share/fonts/wps-office/FZXH1K.TTF","FZXiHeiI-Z08","FZXiHeiI-Z08","FZXH1K--GBK1-0",FALSE,FALSE,FALSE,NA
NA,"FZXKK.afm.gz","/usr/share/fonts/wps-office/FZXKK.TTF","FZXingKai-S04","FZXingKai-S04","FZXKK--GBK1-0",FALSE,FALSE,FALSE,NA
NA,"FZYTK.afm.gz","/usr/share/fonts/wps-office/FZYTK.TTF","FZYaoTi-M06","FZYaoTi-M06","FZYTK--GBK1-0",FALSE,FALSE,FALSE,NA
NA,"gargi.afm.gz","/usr/share/fonts/truetype/ttf-indic-fonts-core/gargi.ttf","gargi","gargi","gargi",FALSE,FALSE,FALSE,NA
NA,"Garuda.afm.gz","/usr/share/fonts/truetype/tlwg/Garuda.ttf","Garuda","Garuda","Garuda",FALSE,FALSE,FALSE,NA
